date,ticker,FCF_Yield,ROIC,Gearing,ROE,EV_EBITDA,P_E,EBITDA_Margin,Net_Margin,Revenue_Growth_YOY
2020-01-31,LMT,,,,,,,,,
2020-02-29,LMT,,,,,,,,,
2020-03-31,LMT,,,,,,,,,
2020-04-30,LMT,,,,,,,,,
2020-05-31,LMT,,,,,,,,,
2020-06-30,LMT,,,,,,,,,
2020-07-31,LMT,,,,,,,,,
2020-08-31,LMT,,,,,,,,,
2020-09-30,LMT,,,,,,,,,
2020-10-31,LMT,,,,,,,,,
2020-11-30,LMT,,,,,,,,,
2020-12-31,LMT,,,,,,,,,
2021-01-31,LMT,,,,,,,,,
2021-02-28,LMT,,,,,,,,,
2021-03-31,LMT,,,,,,,,,
2021-04-30,LMT,,,,,,,,,
2021-05-31,LMT,,,,,,,,,
2021-06-30,LMT,,,,,,,,,
2021-07-31,LMT,,,,,,,,,
2021-08-31,LMT,,,,,,,,,
2021-09-30,LMT,,,,,,,,,
2021-10-31,LMT,,,,,,,,,
2021-11-30,LMT,,,,,,,,,
2021-12-31,LMT,0.06984831944131265,0.1284371949235275,43.06273062730627,23.30258302583026,12.473959298956027,17.45440317212985,0.14144442455700734,0.09419187399319849,
2022-01-31,LMT,,,,,,,,,
2022-02-28,LMT,,,,,,,,,
2022-03-31,LMT,,,,,,,,,
2022-04-30,LMT,,,,,,,,,
2022-05-31,LMT,,,,,,,,,
2022-06-30,LMT,,,,,,,,,
2022-07-31,LMT,,,,,,,,,
2022-08-31,LMT,,,,,,,,,
2022-09-30,LMT,,,,,,,,,
2022-10-31,LMT,,,,,,,,,
2022-11-30,LMT,,,,,,,,,
2022-12-31,LMT,0.05563188658450826,0.11621117508717865,61.20866141732284,22.566929133858267,14.152355120248076,19.229685281228193,0.13195623181377303,0.08686954413191077,-0.015810512499254248
2023-01-31,LMT,,,,,,,,,
2023-02-28,LMT,,,,,,,,,
2023-03-31,LMT,,,,,,,,,
2023-04-30,LMT,,,,,,,,,
2023-05-31,LMT,,,,,,,,,
2023-06-30,LMT,,,,,,,,,
2023-07-31,LMT,,,,,,,,,
2023-08-31,LMT,,,,,,,,,
2023-09-30,LMT,,,,,,,,,
2023-10-31,LMT,,,,,,,,,
2023-11-30,LMT,,,,,,,,,
2023-12-31,LMT,0.056511908273793536,0.14611897857484726,72.74583333333334,28.833333333333332,12.087471852929912,15.928404050867051,0.15456334818191236,0.1024107975314854,0.024051285160038738
2024-01-31,LMT,,,,,,,,,
2024-02-29,LMT,,,,,,,,,
2024-03-31,LMT,0.011403992406511234,0.031095695577501074,81.24686192468619,6.464435146443515,51.96745433510856,71.3427547132686,0.1419598720558302,0.08985170107589416,
2024-04-30,LMT,,,,,,,,,
2024-05-31,LMT,,,,,,,,,
2024-06-30,LMT,0.013663017155295082,0.03364267555968619,81.25316455696202,6.924050632911392,49.438690043613704,67.16913834978672,0.14170621344222492,0.09055291910385167,
2024-07-31,LMT,,,,,,,,,
2024-08-31,LMT,,,,,,,,,
2024-09-30,LMT,0.018897785348260063,0.03227923627684964,82.56837606837607,6.935897435897436,49.295848686427455,67.91408258287123,0.1499064546304958,0.09489008419083256,
2024-10-31,LMT,,,,,,,,,
2024-11-30,LMT,,,,,,,,,
2024-12-31,LMT,0.04796571826032211,0.033628477498135204,86.62393162393163,,49.926503912636505,,,,0.05138298974412092
2025-01-31,LMT,,,,,,,,,
2025-02-28,LMT,,,,,,,,,
2025-03-31,LMT,0.008664131064612751,0.03618736260639197,86.65962744990307,7.306997744002859,47.658480574602,64.38350235514018,0.15036463842342593,0.0953070199855258,
2025-04-30,LMT,,,,,,,,,
2025-05-31,LMT,,,,,,,,,
2025-06-30,LMT,,,,,,,,,
2025-07-31,LMT,,,,,,,,,
2025-08-31,LMT,,,,,,,,,
2025-09-30,LMT,,,,,,,,,
2025-10-31,LMT,,,,,,,,,
2025-11-30,LMT,,,,,,,,,
